Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
C2Devel/rockitcloud,community,25.5.1,2026-05-20,,8,,,✅,,,,✅,,,94,0,73,0,0,0,0,0,167,,"324,763",15,16
controlplane-com/cpln,partner,1.2.27,2026-05-05,,22,,,,✅,,✅,,,,24,0,10,0,0,0,0,0,34,,"324,755",91,22
outfoxx/jks-trust-store,community,0.2.1,2022-02-25,,1552,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,"320,171",3,0
nolte/awx,community,0.2.2,2020-12-01,,2003,,,✅,,,,✅,,,17,0,9,0,0,0,0,0,26,,"319,281",3,0
tyler-technologies/gitops,community,0.0.4-rc,2024-05-22,,735,,,✅,,,,✅,,,4,0,0,0,0,0,0,0,4,,"318,970",3,0
jason-johnson/sqlsso,community,1.4.0,2025-02-11,,471,,,,✅,,✅,,,,2,0,0,0,0,0,0,0,2,,"316,708",15,0
entitleio/entitle,community,2.2.1,2026-05-15,,12,,,,✅,,✅,,,,10,0,17,0,0,0,0,0,27,,"316,691",14,0
SolaceProducts/solacebroker,partner,1.3.0,2025-12-15,,163,,,,✅,,✅,,,,78,0,81,0,0,0,0,2,159,,"316,270",10,0
carvel-dev/carvel,community,0.11.2,2023-07-12,,1050,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"315,943",3,0
panther-labs/panther,partner,0.2.12,2026-05-27,,0,,,,✅,,✅,,,,6,0,0,0,0,0,0,0,6,,"314,341",17,0
supabase/supabase,community,1.9.1,2026-05-15,,12,,,,✅,,✅,,,,6,0,4,0,0,0,0,0,10,,"313,526",18,0
docker/docker,community,0.6.0,2026-04-13,,44,,,,✅,,✅,,,,9,0,10,0,0,0,0,0,19,,"309,735",17,0
frontegg/frontegg,community,2.5.1,2026-04-27,,30,,,,✅,,✅,,,,35,0,3,0,0,0,0,1,38,,"308,109",56,0
rockset/rockset,partner,0.9.8,2024-05-28,,729,,,✅,,,,✅,,,25,0,7,0,0,0,0,0,32,,"303,369",28,0
tidal-engineering/spinnaker,community,1.0.6,2020-11-03,,2031,,,✅,,,,✅,,,4,0,1,0,0,0,0,0,5,,"301,533",4,0
sbecker59/statuspage,community,1.0.1,2024-08-24,,641,,,✅,,,,✅,,,8,0,3,0,0,0,0,0,11,,"300,941",13,0
Qovery/qovery,community,0.70.2,2026-05-12,,15,,,,✅,,✅,,,,21,0,22,0,0,0,0,0,43,,"298,159",151,0
OpenVPN/cloudconnexa,community,1.2.4,2026-05-21,,6,,,✅,,,,✅,,,16,0,19,0,0,0,0,1,35,,"297,839",23,0
TomasKunka/azuread,community,2.48.0,2024-03-22,,796,,,✅,,,,✅,,,48,0,19,0,0,0,0,7,67,,"294,467",1,19
ricochet1k/postgresql,community,1.20.2,2023-01-13,,1230,,,✅,,,,✅,,,14,0,4,0,0,0,0,0,18,,"292,855",4,0
danitso/proxmox,community,0.4.4,2021-02-18,,1924,,,✅,,,,✅,,,13,0,16,0,0,0,0,0,29,,"292,513",5,1
sport24ru/runscope,community,0.10.0,2021-04-23,,1860,,,✅,,,,✅,,,5,0,4,0,0,0,0,0,9,,"292,048",5,0
kentik/kentik-cloudexport,partner,0.4.1,2021-10-21,,1679,,,✅,,,,✅,,,1,0,2,0,0,0,0,0,3,,"291,263",6,0
alertmixer/amixr,partner,0.2.3,2021-01-11,,1962,,,✅,,,,✅,,,5,0,5,0,0,0,0,0,10,,"291,153",5,0
skyscrapr/cloudability,community,0.0.40,2024-11-18,,556,,,,✅,,✅,,,,7,0,4,0,0,0,0,0,11,,"289,294",24,0
TheGameProfi/proxmox,community,2.10.0,2024-01-15,,863,,,✅,,,,✅,,,3,0,0,0,0,0,0,3,3,,"289,011",3,0
firehydrant/firehydrant,partner,0.15.1,2026-05-13,,14,,,✅,,,,✅,,,20,0,25,0,0,0,0,18,45,,"287,167",49,2
adamantal/dreamhost,community,0.3.2,2023-07-28,,1035,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,"286,905",4,0
dash0hq/dash0,community,1.11.0,2026-05-21,,7,,,✅,,,,✅,,,7,0,0,0,0,0,0,0,7,,"286,738",31,0
trendmicro/conformity,community,0.7.5,2025-11-27,,182,,,✅,,,,✅,,,14,0,4,0,0,0,0,0,18,,"285,966",34,12
coreweave/coreweave,partner,0.13.0,2026-04-02,,55,,,,✅,,✅,,,,8,0,3,0,0,0,0,0,11,,"285,637",29,0
ClickHouse/clickhousedbops,partner,1.11.0-alpha1,2026-05-15,,13,,,,✅,,✅,,,,8,0,0,0,0,0,0,0,8,,"285,190",27,0
jrhouston/dotenv,community,1.0.1,2021-11-03,,1666,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,"284,463",2,0
cyberark/conjur,community,0.8.4,2026-03-27,,61,,,✅,,,,✅,,,7,0,3,1,0,0,0,0,11,,"281,688",12,0
ArthurHlt/zipper,community,0.14.0,2021-02-18,,1925,,,✅,,,,✅,,,1,0,1,0,0,0,0,0,2,,"281,141",1,0
maxpetretta/infoblox,community,1.0.0,2020-09-24,,2071,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"280,906",1,0
akuity/akp,community,0.11.2,2026-05-18,,9,,,,✅,,✅,,,,6,0,7,0,0,0,0,7,13,,"280,677",92,0
skeggse/metadata,community,0.2.1,2023-10-16,,954,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,"279,830",3,0
lewispeckover/javascript,community,0.0.5,2022-08-09,,1388,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"279,317",4,0
MorganPeat/environment,community,1.0.0,2026-03-25,,63,,,✅,,,,✅,,,0,0,2,0,0,0,1,0,3,,"272,435",14,0
dedunumax/awslambda,community,1.0.13,2022-02-14,,1564,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,"272,241",10,0
lokkersp/sops,community,0.6.10,2022-11-29,,1276,,,✅,,,,✅,,,1,0,3,0,0,0,0,0,4,,"272,143",7,0
filipowm/unifi,community,1.0.0,2025-03-22,,431,,,✅,,,,✅,,,35,0,10,0,0,0,0,2,45,,"272,000",2,0
leandro-lorenzini/redash,community,1.0.6,2022-04-01,,1518,,,✅,,,,✅,,,4,0,3,0,0,0,0,0,7,,"271,882",7,0
ably/ably,partner,1.0.0,2026-04-10,,47,,,,✅,,✅,,,,19,0,0,0,0,0,0,0,19,,"270,210",19,0
sacloud/sakuracloud,community,2.35.1,2026-04-28,,30,,,✅,,,,✅,,,45,0,35,0,0,0,0,2,80,,"268,661",80,13
dcoppa/argocd,community,6.1.0-fixes,2024-03-25,,793,,,✅,,,,✅,,,10,0,1,0,0,0,0,0,11,,"268,642",40,0
public-cloud-wl/gcsreferential,community,1.0.9,2025-11-24,,184,,,,✅,,✅,,,,3,0,0,0,0,0,0,0,3,,"267,129",17,0
CheckPointSW/infinity-next,partner,1.5.4,2026-05-14,,13,,,✅,,,,✅,,,15,0,0,0,0,0,0,0,15,,"267,026",26,0
core-infra-svcs/meraki,community,0.13.0,2025-01-21,,491,,,,✅,,✅,,,,45,0,24,0,0,0,0,0,69,,"266,591",21,0
arkiaconsulting/confluent-schema-registry,community,0.8.0,2021-08-28,,1734,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"264,493",5,0
thisisbud/sql,community,1.0.0,2022-07-28,,1400,,,✅,,,,✅,,,2,0,2,0,0,0,0,0,4,,"263,188",1,0
Cidaas/cidaas,community,3.5.13,2026-04-29,,28,,,,✅,,✅,,,,21,0,12,0,0,0,0,1,33,,"262,871",82,0
volcengine/volcengine,community,0.0.196,2026-04-10,,48,,,✅,,,,✅,,,404,0,400,0,0,0,0,0,804,,"259,251",193,48
cloudsmith-io/cloudsmith,partner,0.0.74,2026-05-26,,2,,,✅,,,,✅,,,18,0,17,0,0,0,0,0,35,,"258,827",67,0
mvisonneau/updown,community,0.2.3,2022-03-07,,1542,,,✅,,,,✅,,,3,0,1,0,0,0,0,0,4,,"258,818",3,0
zph/mysql,community,3.0.62014,2026-02-26,,91,,,✅,,,,✅,,,12,0,2,0,0,0,0,0,14,,"258,508",11,0
atlassian/atlassian-operations,community,2.0.3,2026-03-03,,85,,,,✅,,✅,,,,16,0,3,0,0,0,0,0,19,,"257,567",19,0
f0rkz/awx,community,0.9.1,2022-02-14,,1563,,,✅,,,,✅,,,22,0,13,0,0,0,0,0,35,,"257,371",11,0
pipe-cd/pipecd,community,0.4.0,2024-11-08,,565,,,,✅,,✅,,,,2,0,2,0,0,0,0,0,4,,"257,119",8,0
keyfactor-pub/keyfactor,partner,2.8.1,2026-05-07,,20,,,,✅,,✅,,,,15,0,17,0,0,0,0,0,32,,"256,149",39,0
umich-vci/rhsm,community,0.7.0,2024-03-25,,793,,,,✅,,✅,,,,4,0,4,0,0,0,0,0,8,,"255,246",8,0
orange-cloudfoundry/uaa,community,0.47.0,2025-12-17,,161,,,✅,,,,✅,,,2,0,3,0,0,0,0,0,5,,"254,167",52,0
myklst/st-utilities,community,0.1.1,2023-07-11,,1051,,,,✅,,✅,,,,0,0,1,0,0,0,0,0,1,,"254,150",1,0
configcat/configcat,partner,5.7.1,2026-04-27,,30,,,,✅,,✅,,,,13,0,10,0,0,0,0,9,23,,"253,532",52,0
NetApp/netapp-ontap,partner,2.6.1,2026-04-21,,36,,,,✅,,✅,,,,51,0,93,0,0,0,0,6,144,,"253,166",19,12
philips-labs/unleash,community,2.1.0,2026-04-14,,43,,,✅,,,,✅,,,6,0,7,0,0,0,0,0,13,,"252,577",15,0
kristofferlind/azuresql,community,0.3.1,2025-10-11,,229,,,,✅,,✅,,,,7,0,0,0,0,0,0,0,7,,"251,754",6,0
claranet/zabbix,community,0.4.0,2022-06-03,,1454,,,✅,,,,✅,,,9,0,1,0,0,0,0,0,10,,"251,224",3,0
devopsarr/readarr,community,2.1.0,2023-10-14,,957,,,,✅,,✅,,,,74,0,42,0,0,0,0,0,116,,"249,443",9,10
Leafly-com/postgresql,community,1.22.1,2023-05-01,,1122,,,✅,,,,✅,,,14,0,3,0,0,0,0,0,17,,"249,050",10,0
patientsknowbest/aidbox,community,0.26.0-beta.1,2026-04-03,,54,,,✅,,,,✅,,,15,0,1,0,0,0,0,0,16,,"248,513",44,0
ConsenSys/quorum,partner,0.3.0,2021-04-14,,1869,,,✅,,,,✅,,,7,0,2,0,0,0,0,0,9,,"248,291",3,0
metalsoft-io/metalcloud,partner,7.3.0,2026-04-01,,56,,,✅,,,,✅,,,7,0,10,0,0,0,0,2,17,,"247,376",88,0
Kong/konnect-beta,community,0.18.0,2026-05-20,,8,,,,✅,,✅,,,,75,0,0,0,0,0,0,0,75,,"247,021",31,0
jason-johnson/namep,community,2.2.1,2025-11-19,,189,,,,✅,,✅,,,,0,0,3,0,0,0,1,0,4,,"245,143",19,0
upstash/upstash,community,2.1.0,2025-08-27,,273,,,✅,,,,✅,,,9,0,9,0,0,0,0,0,18,,"244,752",21,0
ConductorOne/conductorone,community,1.4.0,2026-05-22,,6,,,,✅,,✅,,,,174,0,33,0,0,0,0,0,207,,"244,693",81,0
aquasecurity/aquasec,partner,0.15.0,2026-04-24,,33,,,✅,,,,✅,,,36,0,38,0,0,0,0,0,74,,"242,775",52,0
Bonial-International-GmbH/site24x7,community,0.0.7,2022-02-14,,1563,,,✅,,,,✅,,,3,0,0,0,0,0,0,0,3,,"242,552",4,0
Feliksas/kea-dhcp4,community,1.1.2,2022-11-09,,1296,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,"242,472",3,0
humanitec/humanitec,community,1.9.2,2025-10-09,,231,,,,✅,,✅,,,,26,0,3,0,0,0,0,0,29,,"242,143",74,0
a-d-v/netbox,community,0.9.5,2021-07-14,,1778,,,✅,,,,✅,,,7,0,6,0,0,0,0,0,13,,"241,969",6,0
luma-planet/sshclient,community,1.0.1,2021-06-04,,1818,,,✅,,,,✅,,,2,0,2,0,0,0,0,0,4,,"241,946",3,0
nduyphuong/nexus,community,1.24.2,2023-07-18,,1045,,,✅,,,,✅,,,64,0,60,0,0,0,0,0,124,,"237,255",10,7
MaksymBilenko/synthetics,community,0.1.4,2020-11-10,,2025,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"236,159",3,0
GtheSheep/dbt-cloud,community,0.1.11,2023-06-13,,1080,,,✅,,,,✅,,,17,0,16,0,0,0,0,0,33,,"233,387",88,0
clumio-code/clumio,partner,0.20.0,2026-05-08,,20,,,✅,,,,✅,,,18,0,11,0,0,0,0,6,29,,"231,405",51,0
killmeplz/sodium,community,0.0.3,2022-06-24,,1433,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,"231,322",2,0
LukasKnuth/gotify,community,0.3.0,2024-09-04,,631,,,,✅,,✅,,,,3,0,0,0,0,0,0,0,3,,"230,244",6,0
planetscale/planetscale,community,1.1.0,2026-05-26,,1,,,,✅,,✅,,,,4,0,11,0,0,0,0,0,15,,"230,152",22,0
lucian-tx/proxmox,community,0.0.5,2024-08-12,,653,,,✅,,,,✅,,,3,0,0,0,0,0,0,3,3,,"227,818",3,0
wallix/wallix-bastion,community,0.14.8,2025-10-10,,229,,,✅,,,,✅,,,33,0,5,0,0,0,0,0,38,,"226,578",12,0
iSchluff/keepass,community,1.0.1,2024-04-02,,785,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,"225,936",5,0
nikhilsbhat/gocd,community,0.1.4,2025-08-04,,297,,,✅,,,,✅,,,15,0,13,0,0,0,0,0,28,,"225,484",14,0
octoenergy/sendgrid,community,1.0.10,2025-06-02,,359,,,✅,,,,✅,,,14,0,0,0,0,0,0,0,14,,"224,516",6,0
aws-tf/aws-parallelcluster,community,1.1.0,2024-12-06,,537,,,,✅,,✅,,,,3,0,6,0,0,0,0,0,9,,"223,655",3,0
Altinity/kubectl,community,1.15.23,2024-02-21,,827,,,✅,,,,✅,,,2,0,4,0,0,0,0,0,6,,"223,241",12,0
andsafe-AG/bitbucket,community,2.5.0,2022-01-26,,1582,,,✅,,,,✅,,,10,0,2,0,0,0,0,0,12,,"221,421",2,0
Kaginari/ansible-tower,community,0.1.0,2022-01-30,,1578,,,✅,,,,✅,,,9,0,0,0,0,0,0,0,9,,"220,681",1,0
hirosassa/looker,community,0.15.0,2026-03-04,,85,,,✅,,,,✅,,,14,0,1,0,0,0,0,0,15,,"220,483",24,0
bendrucker/pkcs12,community,1.0.1,2022-04-05,,1513,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,"220,399",3,0
ansible/aap,official,1.5.0,2026-04-28,,29,,,,✅,,✅,,,,5,0,5,0,0,3,0,0,13,,"220,188",9,0
random-things/string-functions,community,0.5.0,2025-02-10,,471,,,,✅,,✅,,,,0,0,0,0,0,0,16,0,16,,"219,470",5,0
BetterStackHQ/logtail,partner,10.11.3,2026-05-20,,7,,,✅,,,,✅,,,20,0,19,0,0,0,0,0,39,,"215,927",60,0
uptimerobot/uptimerobot,community,1.7.1,2026-05-18,,10,,,,✅,,✅,,,,6,0,8,0,0,0,0,0,14,,"214,600",35,0
imperva/saltstack,community,0.2.0,2026-05-19,,8,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,"211,562",3,0
Preskton/twilio,community,0.1.6,2020-09-21,,2074,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"211,527",2,0
nijave/mimirtool,community,1.0.5,2024-04-20,,767,,,✅,,,,✅,,,2,0,0,0,0,0,0,0,2,,"210,463",7,0
innovationnorway/azure-preview,community,0.1.0-alpha.3,2020-10-30,,2035,,,✅,,,,✅,,,2,0,1,0,0,0,0,0,3,,"210,352",3,0
tenstad/artifactory,community,2.2.27,2021-10-05,,1695,,,✅,,,,✅,,,14,0,2,0,0,0,0,0,16,,"208,139",8,0
iwarapter/pingfederate,community,0.2.0,2023-04-25,,1128,,,,✅,,✅,,,,47,0,8,0,0,0,0,1,55,,"205,733",27,0
grafana/grafana-adaptive-metrics,partner,0.3.6,2026-01-27,,120,,,,✅,,✅,,,,6,0,1,0,0,0,0,0,7,,"205,579",17,0
citrix/citrix,partner,1.0.35,2026-04-28,,29,,,,✅,,✅,,,,76,0,51,0,0,0,0,0,127,,"205,513",75,7
aizerin/kibana,community,10.0.2,2021-09-15,,1716,,,✅,,,,✅,,,5,0,0,0,0,0,0,0,5,,"205,269",3,0
bierwirth-it/docker,community,3.0.5,2024-05-28,,729,,,✅,,,,✅,,,10,0,5,0,0,0,0,0,15,,"203,550",3,0
alon-dotan-starkware/kubectl,community,1.11.2,2021-06-21,,1802,,,✅,,,,✅,,,2,0,4,0,0,0,0,0,6,,"202,931",1,0
nsofnetworks/pfptmeta,community,0.1.51,2024-10-27,,577,,,✅,,,,✅,,,48,0,44,0,0,0,0,0,92,,"202,446",59,10
syndbg/vaulted-null,community,0.3.2,2022-07-25,,1402,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"202,235",10,0
fortinetdev/fortimanager,partner,1.17.0,2026-05-04,,23,,,✅,,,,✅,,,"1,138",0,0,0,0,0,0,4,"1,138",,"201,740",21,82
Scalr/scalr,community,3.16.4,2026-05-22,,5,,,✅,,,,✅,,,35,0,32,0,0,0,0,0,67,,"200,689",75,0
tsuru/rpaas,community,0.9.0,2025-11-26,,182,,,✅,,,,✅,,,8,0,0,0,0,0,0,0,8,,"200,261",38,0
rustack-cloud-platform/rcp,community,1.2.2,2024-05-13,,744,,,✅,,,,✅,,,17,0,37,0,0,0,0,0,54,,"199,265",6,0
devopsarr/lidarr,community,1.13.0,2024-10-20,,584,,,,✅,,✅,,,,85,0,50,0,0,0,0,0,135,,"197,660",16,10
benohara/tls,community,3.4.2-pre,2021-09-08,,1723,,,✅,,,,✅,,,4,0,2,0,0,0,0,0,6,,"197,242",3,0
claranet/azurecaf,community,1.3.0,2025-09-29,,240,,,✅,,,,✅,,,2,0,2,0,0,0,0,0,4,,"196,589",3,0
DevotedHealth/looker,community,0.4.0-alpha,2022-11-21,,1283,,,✅,,,,✅,,,13,0,1,0,0,0,0,0,14,,"195,398",4,0
josaur/civicrm,community,1.1.2,2026-05-13,,15,,,✅,,,,✅,,,20,0,13,0,0,0,0,0,33,,"195,031",12,3
Myra-Security-GmbH/myrasec,community,1.84.0,2026-01-29,,118,,,✅,,,,✅,,,18,0,21,0,0,0,0,0,39,,"194,794",112,0
nauxliu/cronitor,community,1.0.8,2020-09-02,,2093,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"194,669",7,0
splunk/qbec,partner,0.0.1,2021-09-25,,1706,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,"193,564",1,0
danylohetmantsev/helm,community,2.3.1,2021-08-23,,1738,,,✅,,,,✅,,,1,0,1,0,0,0,0,1,2,,"193,390",2,0
nullplatform/nullplatform,community,0.0.90,2026-05-18,,9,,,✅,,,,✅,,,26,0,6,0,0,0,0,0,32,,"193,386",82,0
transcend-io/transcend,community,0.20.0,2025-09-19,,250,,,✅,,,,✅,,,9,0,4,0,0,0,0,0,13,,"193,106",41,0
ldcorentin/klayer,community,1.0.1,2022-12-21,,1254,,,✅,,,,✅,,,0,0,2,0,0,0,0,0,2,,"193,025",2,0
AMKamel/rundeck,community,0.4.11,2021-12-03,,1636,,,✅,,,,✅,,,5,0,0,0,0,0,0,0,5,,"192,075",6,0
apparentlymart/javascript,community,0.0.1,2020-07-10,,2147,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"192,052",1,0
warp-tech/warpgate,community,1.1.6,2026-04-29,,29,,,,✅,,✅,,,,11,0,4,0,0,0,0,0,15,,"191,614",9,0
aequitas/transip,community,0.1.27,2025-06-03,,358,,,✅,,,,✅,,,9,0,4,0,0,0,0,0,13,,"191,431",25,0
Lerentis/gitea,community,0.16.0,2023-07-20,,1043,,,✅,,,,✅,,,10,0,3,0,0,0,0,0,13,,"187,387",26,0
Audibene-GMBH/pulsar,community,0.4.3,2024-10-04,,600,,,✅,,,,✅,,,7,0,0,0,0,0,0,0,7,,"187,322",9,0
Robyt96/awx,community,1.0.4,2023-07-24,,1038,,,✅,,,,✅,,,35,0,18,0,0,0,0,0,53,,"186,958",2,0
RutledgePaulV/buildkit,community,0.0.6,2023-05-08,,1116,,,✅,,,,✅,,,1,0,2,0,0,0,0,0,3,,"186,804",6,0
davidji99/split,community,0.16.0,2025-12-01,,178,,,✅,,,,✅,,,13,0,4,0,0,0,0,0,17,,"186,617",27,0
pvotal-tech/k3d,community,0.0.7,2023-07-16,,1047,,,✅,,,,✅,,,3,0,3,0,0,0,0,0,6,,"185,895",3,0
PaloAltoNetworks/prismacloudcompute,partner,0.8.0,2023-07-05,,1057,,,✅,,,,✅,,,17,0,2,0,0,0,0,0,19,,"185,693",10,0
ContentSquare/errorcheck,community,3.0.2,2022-03-28,,1522,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"185,427",2,0
getmoss/metabase,community,2.0.4,2024-11-05,,568,,,✅,,,,✅,,,4,0,2,0,0,0,0,0,6,,"184,294",6,0
Bonial-International-GmbH/spinnaker,community,0.1.3,2022-09-01,,1365,,,✅,,,,✅,,,5,0,1,0,0,0,0,0,6,,"184,236",6,0
dfns/tunnel,community,1.6.2,2026-05-22,,5,,,,✅,,✅,,,,0,0,3,3,0,0,0,0,6,,"183,575",26,0
terra-farm/virtualbox,community,0.2.2-alpha.1,2021-09-21,,1709,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,"183,072",2,0
inwx/inwx,community,1.6.5,2026-04-14,,44,,,✅,,,,✅,,,7,0,1,0,0,0,0,0,8,,"182,382",23,0
PortOfPortland/windns,community,0.5.3,2021-04-30,,1853,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"180,985",4,0
rickardgranberg/vaultoperator,community,0.1.11,2023-11-08,,932,,,✅,,,,✅,,,1,0,1,0,0,0,0,0,2,,"180,674",11,0
homedepot/spinnaker,community,1.4.1,2024-12-05,,538,,,✅,,,,✅,,,4,0,2,0,0,0,0,0,6,,"179,378",7,0
CiscoISE/ciscoise,community,0.8.2-beta,2025-02-14,,468,,,✅,,,,✅,,,165,0,189,0,0,0,0,0,354,,"179,065",40,0
Flagsmith/flagsmith,partner,0.10.0,2026-04-06,,52,,,,✅,,✅,,,,7,0,2,0,0,0,0,0,9,,"178,847",17,0
Cdiscount/dyn,community,1.3.5,2022-04-29,,1490,,,✅,,,,✅,,,8,0,0,0,0,0,0,0,8,,"178,822",8,0
nauxliu/pingdom,community,1.1.2,2020-08-13,,2114,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"178,225",1,0
chanzuckerberg/happy,community,0.127.5,2024-05-03,,754,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,"177,841",124,0
apparentlymart/testing,community,0.0.2,2020-06-04,,2183,,,✅,,,,✅,,,0,0,2,0,0,0,0,0,2,,"177,290",2,0
crusoecloud/crusoe,community,0.8.0,2026-04-28,,29,,,,✅,,✅,,,,17,0,17,0,0,0,0,0,34,,"177,198",60,0
jonascrevecoeur/azuresql,community,5.4.4,2026-04-13,,44,,,,✅,,✅,,,,15,0,15,0,0,0,0,5,30,,"176,232",27,0
deploymenttheory/jamfpro,community,0.38.0,2026-05-27,,0,,,✅,,,,✅,,,74,0,51,0,0,0,0,0,125,,"176,103",91,0
dell/objectscale,partner,1.0.0,2026-01-30,,118,,,,✅,,✅,,,,14,0,12,0,0,0,0,0,26,,"175,955",1,7
gordonbondon/maxminddb,community,0.1.0,2021-01-22,,1951,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,"175,694",1,0
AI-Craft-Reprise/adverity,community,1.3.9,2022-10-20,,1316,,,✅,,,,✅,,,9,0,7,0,0,0,0,0,16,,"175,625",67,0
arnvid/appstream,community,2.0.0,2021-06-17,,1806,,,✅,,,,✅,,,5,0,0,0,0,0,0,0,5,,"173,788",2,0
rudderlabs/rudderstack,community,4.5.1,2026-05-19,,8,,,✅,,,,✅,,,102,0,0,0,0,0,0,1,102,,"172,798",42,0
Audibene-GMBH/postgresql,community,0.0.0-2024-12-05,2024-12-05,,538,,,✅,,,,✅,,,8,0,0,0,0,0,0,0,8,,"172,498",6,0
pjfebbraro/azureadb2cief,community,0.2.0,2022-07-30,,1397,,,✅,,,,✅,,,2,0,1,0,0,0,0,0,3,,"171,352",2,0
ksvladimir/helm,community,2.6.0+cyberhaven.1,2022-08-05,,1391,,,✅,,,,✅,,,1,0,1,0,0,0,0,1,2,,"170,289",4,0
shekhar-jha/env,community,0.1.1,2021-03-21,,1893,,,✅,,,,✅,,,0,0,2,0,0,0,0,0,2,,"169,975",3,0
PaloAltoNetworks/bridgecrew,partner,0.3.7,2022-09-15,,1350,,,✅,,,,✅,,,5,0,21,0,0,0,0,0,26,,"169,974",24,0
gmilowamw/mongodb2,community,0.3.0,2024-11-19,,554,,,✅,,,,✅,,,2,0,0,0,0,0,0,0,2,,"169,362",1,0
StackGuardian/stackguardian,community,1.11.0,2026-05-21,,7,,,,✅,,✅,,,,14,0,17,0,0,0,0,2,31,,"168,393",50,0
Constellix/constellix,partner,0.4.6,2024-07-30,,666,,,✅,,,,✅,,,29,0,29,0,0,0,0,0,58,,"168,249",18,0
FelGel/mongodb,community,2.0.4,2026-02-04,,112,,,✅,,,,✅,,,4,0,0,0,0,0,0,0,4,,"168,203",16,0
datadrivers/designation,community,1.0.5,2026-03-27,,62,,,,✅,,✅,,,,0,0,1,0,0,0,1,0,2,,"167,681",7,0
SigNoz/signoz,community,0.0.11,2025-11-14,,195,,,,✅,,✅,,,,2,0,2,0,0,0,0,0,4,,"166,582",10,0
shanedabes/infoblox,community,1.1.3,2020-10-20,,2045,,,✅,,,,✅,,,7,0,1,0,0,0,0,0,8,,"166,579",1,0
zahiar/bitbucket,community,1.6.0,2023-05-20,,1103,,,✅,,,,✅,,,14,0,18,0,0,0,0,0,32,,"166,287",19,0
lupa95/passwork,community,0.1.2,2025-02-09,,472,,,,✅,,✅,,,,3,0,1,0,0,0,0,0,4,,"166,174",3,0
mixpanel/multirotate,community,0.0.7,2025-02-26,,455,,,,✅,,✅,,,,1,0,0,0,0,0,0,0,1,,"166,042",7,0
amilevskiy/cidrblock,community,0.0.23,2023-04-15,,1138,,,✅,,,,✅,,,0,0,2,0,0,0,0,0,2,,"165,807",22,0
customcrud/customcrud,community,3.14.1,2026-05-12,,16,,,,✅,,✅,,,,1,0,1,1,0,0,0,0,3,,"165,078",33,0
badarsebard/xsoar,community,0.3.61,2022-11-22,,1282,,,✅,,,,✅,,,6,0,7,0,0,0,0,0,13,,"164,989",83,0
josh-silvas/kea,community,0.3.4,2024-06-06,,720,,,,✅,,✅,,,,3,0,3,0,0,0,0,0,6,,"164,814",9,0
public-cloud-wl/tools,community,0.4.0,2026-05-07,,20,,,,✅,,✅,,,,0,0,0,0,0,0,3,0,3,,"163,650",6,0
KOTechnologiesLtd/cloudcraft,community,2.1.3,2024-05-24,,733,,,✅,,,,✅,,,3,0,4,0,0,0,0,0,7,,"162,942",8,0
kota65535/temporary,community,1.0.1,2024-06-28,,699,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,"162,010",10,0
kingsoftcloud/ksyun,community,1.25.6,2026-04-17,,41,,,✅,,,,✅,,,108,0,89,0,0,0,0,0,197,,"161,563",165,30
sogelink/postgresql,community,1.21.2-sglk,2024-10-23,,582,,,✅,,,,✅,,,14,0,3,0,0,0,0,0,17,,"161,488",3,0
