Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
carlpett/sops,community,1.4.1,2026-03-19,,69,,,✅,,,,✅,,,0,0,2,2,0,0,0,1,4,,57.6M,18,0
alekc/kubectl,community,2.4.0,2026-05-19,,8,,,✅,,,,✅,,,2,0,5,1,0,0,0,0,8,,56.0M,23,0
aliyun/alicloud,partner,1.279.0,2026-05-22,,6,,,✅,,,,✅,,,"1,134",0,739,0,0,0,0,2,"1,873",,55.7M,230,147
snowflakedb/snowflake,partner,2.16.0,2026-05-08,,20,,,✅,,,,✅,,,115,0,59,0,0,0,0,13,174,,55.5M,128,2
cloudposse/utils,community,2.5.0,2026-03-24,,64,,,✅,,,,✅,,,0,0,7,0,0,0,0,0,7,,52.2M,101,0
elastic/elasticstack,partner,0.16.0,2026-05-25,,3,,,✅,,,,✅,,,68,0,59,1,0,0,0,2,128,,52.1M,115,13
dmacvicar/libvirt,community,0.9.7,2026-03-29,,59,,,✅,,,,✅,,,7,0,4,0,0,0,0,0,11,,50.2M,28,0
kreuzwerker/docker,community,4.4.0,2026-05-15,,12,,,✅,,,,✅,,,12,0,8,0,0,6,0,0,26,,46.2M,45,0
hashicorp/awscc,official,1.86.0,2026-05-27,,0,,,,✅,,✅,,,,"1,357",0,"2,391",0,"1,024",0,0,1,"4,772",,46.1M,170,0
tencentcloudstack/tencentcloud,partner,1.82.97,2026-05-23,,5,,,✅,,,,✅,,,"1,245",0,896,0,0,0,0,0,"2,141",,44.4M,534,108
hashicorp/nomad,official,2.6.1,2026-04-20,,38,,,,✅,,,,✅,,18,0,27,3,0,0,0,0,48,,43.5M,42,0
fluxcd/flux,community,1.8.8,2026-05-20,,7,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,42.6M,124,0
coder/coder,partner,2.18.0,2026-05-22,,6,,,✅,,,,✅,,,9,0,8,0,0,0,0,1,17,,42.5M,136,0
glesys/glesys,community,0.16.1,2026-02-26,,91,,,✅,,,,✅,,,18,0,3,0,0,0,0,0,21,,41.2M,24,0
rancher/rancher2,partner,14.1.1,2026-05-15,,12,,✅,✅,✅,,,,✅,,46,0,27,0,0,0,0,1,73,,40.9M,88,0
auth0/auth0,partner,1.47.0,2026-05-22,,6,,,✅,✅,,,,✅,,75,0,41,0,0,0,0,5,116,,40.5M,101,0
1Password/onepassword,partner-premier,3.3.1,2026-03-19,,69,,,,✅,,✅,,,,1,0,3,1,0,0,0,0,5,,38.8M,33,0
vancluever/acme,community,2.48.1,2026-04-28,,29,,,✅,,,,✅,,,2,0,1,0,0,0,0,195,3,,37.1M,83,1
Mongey/kafka,community,0.13.1,2025-09-22,,247,,,✅,,,,✅,,,4,0,2,0,0,0,0,5,6,,37.0M,38,0
Ferlab-Ste-Justine/etcd,community,0.11.0,2025-07-12,,320,,,✅,,,,✅,,,8,0,3,0,0,0,0,0,11,,36.2M,12,0
terraform-aws-modules/http,community,2.4.1,2021-05-22,,1831,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,35.3M,4,0
juju/juju,community,2.0.0,2026-05-26,,1,,,,✅,,✅,,,,25,0,9,0,8,1,0,0,43,,34.0M,60,0
Ferlab-Ste-Justine/netaddr,community,0.6.0,2026-02-03,,113,,,✅,,,,✅,,,5,0,10,0,0,0,0,0,15,,33.2M,8,0
opsgenie/opsgenie,community,0.6.40,2025-10-28,,212,,,✅,,,,✅,,,19,0,6,0,0,0,0,0,25,,31.6M,56,0
petoju/mysql,community,3.0.92,2026-03-12,,76,,,✅,,,,✅,,,9,0,2,0,0,0,0,0,11,,31.0M,93,0
yandex-cloud/yandex,community,0.206.0,2026-05-28,,0,,,✅,,,,✅,,,227,0,139,0,0,0,0,0,366,,30.8M,170,56
harness/harness,community,0.42.8,2026-05-27,,0,,,✅,,,,✅,,,206,0,191,0,0,0,0,1,397,,28.9M,218,2
SumoLogic/sumologic,partner,3.2.8,2026-05-12,,16,,,✅,,,,✅,,,86,0,13,0,0,0,0,0,99,,28.9M,105,0
IBM-Cloud/ibm,official,2.2.2,2026-05-27,,0,,,✅,,,,✅,,,606,0,811,0,0,0,0,2,"1,417",,27.6M,221,56
